file_name,image_size,inference_info
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-27-23__subdir__2019_04_01__subdir__IMG_0156.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-27-23__subdir__2019_04_01__subdir__IMG_0180.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-28-23__subdir__2019_04_01__subdir__IMG_0007_2.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-28-23__subdir__2019_04_01__subdir__IMG_0009_1.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-29-23__subdir__2019_04_02__subdir__IMG_0013.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-29-23__subdir__2019_04_02__subdir__IMG_0014.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-29-23__subdir__2019_04_02__subdir__IMG_0020.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-29-23__subdir__2019_04_02__subdir__IMG_0024.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-29-23__subdir__2019_04_02__subdir__IMG_0033.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-29-23__subdir__2019_04_03__subdir__IMG_0115.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-29-23__subdir__2019_04_03__subdir__IMG_0164.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-8-24__subdir__2024_11_08__subdir__IMG_0063.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-8-24__subdir__2024_11_08__subdir__IMG_0122.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-8-24__subdir__2024_11_08__subdir__IMG_0135.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-8-24__subdir__2024_11_08__subdir__IMG_0153.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\12-1-23__subdir__2019_04_05__subdir__IMG_0049.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\12-1-23__subdir__2019_04_05__subdir__IMG_0061.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\12-13-24__subdir__2024_12_13__subdir__IMG_0002.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\12-13-24__subdir__2024_12_13__subdir__IMG_0011.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\12-13-24__subdir__2024_12_13__subdir__IMG_0018_1.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\12-13-24__subdir__2024_12_13__subdir__IMG_0034_1.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\12-13-24__subdir__2024_12_13__subdir__IMG_0054_1.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\12-13-24__subdir__2024_12_13__subdir__IMG_0077.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\12-15-23__subdir__2023_12_15__subdir__IMG_0022.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\12-2-24__subdir__2024_12_02__subdir__IMG_0040.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\12-2-24__subdir__2024_12_02__subdir__IMG_0059.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\12-20-23__subdir__2023_12_20__subdir__IMG_0004_1.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\12-20-23__subdir__2023_12_20__subdir__IMG_0006.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\12-29-23__subdir__2023_12_29__subdir__IMG_0081.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\12-29-23__subdir__2023_12_29__subdir__IMG_0101.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\12-3-24__subdir__2024_12_03__subdir__IMG_0008.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\12-3-24__subdir__2024_12_03__subdir__IMG_0013.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\12-3-24__subdir__2024_12_03__subdir__IMG_0015.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
