file_name,image_size,inference_info
D:\moth_photos\database\batch_01\img_moth_00000186.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000187.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000188.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000189.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000190.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000191.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000192.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000193.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000194.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000195.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000196.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000197.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000198.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000199.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000200.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000201.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000202.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000203.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000204.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000205.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000206.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000207.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000208.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000209.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000210.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000211.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000212.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000213.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000214.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000215.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000216.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000217.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000218.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000219.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000220.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000221.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000222.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000223.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000224.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000225.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000226.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000227.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000228.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000229.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000230.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000231.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
D:\moth_photos\database\batch_01\img_moth_00000232.jpg,"[4000, 6000]",modelv1.0__2025-02-22 09:37:28
