_id,Damage,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,HOSTS ID,Insect Author,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Lab Rearing,Location
118969,on leaves,Pinaceae,Pinus,,,118969,Kellicott,Sesiidae,Synanthedon,pini,,,Nearctic
120339,,Caprifoliaceae,Viburnum,,,120339,Cramer,Sphingidae,Darapsa,myron,myron,,Canada
119710,,Leguminosae (P),Vigna,,,119710,Linnaeus,Sphingidae,Agrius,convolvuli,,,India
118904,in seeds,Dipterocarpaceae,Neobalanocarpus,heimii,,118904,Meyrick,Sesiidae,Synanthedon,nautica,,,West Malaysia
118882,in branches/stems,Betulaceae,Alnus,serrulatoides,,118882,Spatenka & Arita,Sesiidae,Synanthedon,multitarsus,,,Japan
118973,,Styracaceae,Styrax,officinalis,,118973,Lederer,Sesiidae,Synanthedon,pipiziformis,,,Palaearctic
120340,,Caprifoliaceae,Viburnum,,,120340,Cramer,Sphingidae,Darapsa,myron,myron,,Nearctic
119723,,Leguminosae (P),Arachis,hypogaea,,119723,Linnaeus,Sphingidae,Agrius,convolvuli,convolvuli,,India
118907,on seeds,Dipterocarpaceae,Dipterocarpus,grandiflorus,,118907,Meyrick,Sesiidae,Synanthedon,nautica,,,Malaysia
118885,in branches/trunk,Salicaceae,Salix,gracilistyla,,118885,Spatenka & Arita,Sesiidae,Synanthedon,multitarsus,,,Japan
118976,,Salicaceae,Salix,,,118976,Staudinger,Sesiidae,Synanthedon,polaris,,,Palaearctic
120350,,Vitaceae,Vitis,vinifera,,120350,Cramer,Sphingidae,Darapsa,myron,myron,,USA
119739,,Burseraceae,Canarium,album,,119739,Moore,Sphingidae,Ambulyx,moorei,,,South-East Asia
118909,on stored illipe nut,Detritophagous,,,,118909,Meyrick,Sesiidae,Synanthedon,nautica,,,Oriental
118887,,Elaeagnaceae,Hippophae,rhamnoides,,118887,Borkhausen,Sesiidae,Synanthedon,myopaeformis,,,Palaearctic
118990,,Polygonaceae,Eriogonum,fasciculatum,,118990,Edwards,Sesiidae,Synanthedon,polygoni,,,Nearctic
120354,,Rubiaceae,,,,120354,Harris,Sphingidae,Darapsa,versicolor,,,Nearctic
119740,,Anacardiaceae,Lannea,coromandelica,,119740,Moore,Sphingidae,Ambulyx,moorei,,,South-East Asia
118913,,Pinaceae,Picea,engelmannii,,118913,Edwards,Sesiidae,Synanthedon,novaroensis,,,Nearctic
118889,,Rosaceae,Malus,pumila,,118889,Borkhausen,Sesiidae,Synanthedon,myopaeformis,,,Palaearctic
118992,in,Polygonaceae,Polygonum,paronychia,,118992,Edwards,Sesiidae,Synanthedon,polygoni,,,Nearctic
120355,,Rubiaceae,Cephalanthus,,,120355,Harris,Sphingidae,Darapsa,versicolor,,,Nearctic
119745,,Juglandaceae,Juglans,regia,,119745,Butler,Sphingidae,Ambulyx,sericeipennis,,,India
118931,in wood,Pinaceae,Pseudotsuga,menziesii,,118931,Edwards,Sesiidae,Synanthedon,novaroensis,,,USA
118896,in trunks,Rosaceae,Malus,,,118896,Borkhausen,Sesiidae,Synanthedon,myopaeformis,,,British Isles
118995,in roots/stems,Polygonaceae,Eriogonum,fasciculatum,,118995,Edwards,Sesiidae,Synanthedon,polygoni,,,USA
120358,,Lythraceae,Decodon,,,120358,Harris,Sphingidae,Darapsa,versicolor,,,Nearctic
119747,,Myricaceae,Myrica,nagi,,119747,Butler,Sphingidae,Ambulyx,sericeipennis,,,India
118947,,Rosaceae,Prunus,pensylvanica,,118947,Grote & Robinson,Sesiidae,Synanthedon,pictipes,,,Canada
118899,in fruits,Dipterocarpaceae,Dipterocarpus,grandiflorus,,118899,Meyrick,Sesiidae,Synanthedon,nautica,,,Malaysia
118999,in roots/stems,Polygonaceae,Eriogonum,parvifolium,,118999,Edwards,Sesiidae,Synanthedon,polygoni,,,USA
120362,,Hydrangeaceae,Hydrangea,arborescens,,120362,Harris,Sphingidae,Darapsa,versicolor,,,USA
119753,,Anacardiaceae,Buchanania,latifolia,,119753,Felder,Sphingidae,Ambulyx,subocellata,,,India
118958,,Pinaceae,Pinus,,,118958,Kellicott,Sesiidae,Synanthedon,pini,,,Nearctic
118901,in fruits,Dipterocarpaceae,Parashorea,densiflora,,118901,Meyrick,Sesiidae,Synanthedon,nautica,,,Malaysia
