P No.,MONA,Genus_Species,Author with Year,Common Name,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Species,MPG URL,MPG Taxonomic Notes yes::Taxonomic Note Striped,MPG Taxonomic Notes yes::Synonymy striped
932868,10276,Polia imbrifera,"(Guenée, 1852)",Cloudy Arches,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Polia,imbrifera,https://mothphotographersgroup.msstate.edu/species.php?hodges=10276,,"Aplecta imbrifera Guenée, 1852"
932869,10277,Polia rogenhoferi,"(Möschler, 1870)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Polia,rogenhoferi,https://mothphotographersgroup.msstate.edu/species.php?hodges=10277,Polia rogenhoferi: Includes as a synonym Polia leomegra [10278].,"Mamestra rogenhoferi Möschler, 1870
Miselia carbonifera Hampson, 1908
Mamestra leomegra Smith, 1908"
932870,10277.1,Polia propodea,"McCabe, 1980",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Polia,propodea,https://mothphotographersgroup.msstate.edu/species.php?hodges=10277.1,"Polia propodea McCabe, 1980, n. sp.: New York State Museum, Bulletin Number 432. vi + 141 pp.","Polia propodea McCabe, 1980"
932871,10279,Polia richardsoni,"(Curtis, 1834)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Polia,richardsoni,https://mothphotographersgroup.msstate.edu/species.php?hodges=10279,,"Hadena richardsoni Curtis, 1834
Anarta algida Lefèbvre, 1836
Anarta dovrensis Staudinger, 1901
Mamestra feildeni MacLachlan, 1878
Anarta fumida Graeser, 1889
Aplecta groelandica Heydemann, 1944
Anarta septentrionis Walker, 1857
Anarta lanuginosa Smith, 1900
Anarta squara Smith, 1908
Anarta magna Barnes & Benjamin, 1924
Anarta tamsi Benjamin, 1933"
932872,10280,Polia purpurissata,"(Grote, 1864)",Purple Arches,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Polia,purpurissata,https://mothphotographersgroup.msstate.edu/species.php?hodges=10280,,"Eurois purpurissata Grote, 1864
Mamestra crydina Dyar, 1904
Hadena juncimacula Smith, 1883
Mamestra languida Smith, 1893
Polia apurpura Barnes & McDunnough, 1913"
932873,10281,Polia nugatis,"(Smith, 1898)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Polia,nugatis,https://mothphotographersgroup.msstate.edu/species.php?hodges=10281,,"Mamestra nugatis Smith, 1898
Mamestra tufa Smith, 1905"
932874,10292,Melanchra adjuncta,"(Guenée, 1852)",Hitched Arches,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Melanchra,adjuncta,https://mothphotographersgroup.msstate.edu/species.php?hodges=10292,,"Mamestra adjuncta Guenée, 1852
[unknown] benjamini Lemmer, 1937
Acronicta declarata Walker, 1856"
932875,10293,Melanchra picta,"(Harris, 1841)",Zebra Caterpillar,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Melanchra,picta,https://mothphotographersgroup.msstate.edu/species.php?hodges=10293,,"Mamestra picta Harris, 1841
Mythimna contraria Walker, 1857
Ceramica exusta Guenée, 1852"
932876,10294,Melanchra pulverulenta,"(Smith, 1888)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Melanchra,pulverulenta,https://mothphotographersgroup.msstate.edu/species.php?hodges=10294,,"Mamestra pulverulenta Smith, 1888"
932877,10295,Melanchra assimilis,"(Morrison, 1874)",Black Arches,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Melanchra,assimilis,https://mothphotographersgroup.msstate.edu/species.php?hodges=10295,,"Mamestra assimilis Morrison, 1874"
932878,10296,Lacanobia nevadae,"(Grote, 1876)",Nevada Arches,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Lacanobia,nevadae,https://mothphotographersgroup.msstate.edu/species.php?hodges=10296,,"Mamestra nevadae Grote, 1876
Mamestra canadensis Smith, 1888"
932879,10297,Lacanobia atlantica,"(Grote, 1874)",Atlantic Arches,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Lacanobia,atlantica,https://mothphotographersgroup.msstate.edu/species.php?hodges=10297,,"Mamestra atlantica Grote, 1874
Mamestra discolor Speyer, 1875"
932880,10298,Lacanobia radix,"(Walker, [1857])",Garden Arches,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Lacanobia,radix,https://mothphotographersgroup.msstate.edu/species.php?hodges=10298,"Lacanobia radix (Walker, [1857]) includes as a synonym 10492 Orthosia desperata following McCabe (1980), Zookeys. 149: 149, 156.","Agrotis radix Walker, [1857]
Mamestra desperata Smith, 1891
Mamestra dimmocki Grote, 1875"
932881,10299,Lacanobia subjuncta,"(Grote & Robinson, 1868)",Speckled Cutworm,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Lacanobia,subjuncta,https://mothphotographersgroup.msstate.edu/species.php?hodges=10299,,"Hadena subjuncta Grote & Robinson, 1868
Polia eleanora Barnes & McDunnough, 1918"
932882,10300,Lacanobia grandis,"(Guenée, 1852)",Grand Arches,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Lacanobia,grandis,https://mothphotographersgroup.msstate.edu/species.php?hodges=10300,Lacanobia grandis: Formerly placed in the genus Spirameter.,"Hadena grandis Guenée, 1852
Xylophasia libera Walker, 1856"
932883,10301,Spiramater lutra,"(Guenée, 1852)",Otter Spiramater,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Spiramater,lutra,https://mothphotographersgroup.msstate.edu/species.php?hodges=10301,Spiramater lutra: Formerly placed in the genus Lacanobia.,"Hadena lutra Guenée, 1852
Mamestra lubens Grote, 1875
Mamestra rufula Morrison, 1875
Polia glaucopis Hampson, 1905"
932884,10302,Trichordestra rugosa,"(Morrison, 1875)",Wrinkled Trichordestra,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Trichordestra,rugosa,https://mothphotographersgroup.msstate.edu/species.php?hodges=10302,Trichordestra rugosa: Formerly placed in the genus Lacanobia.,"Mamestra rugosa Morrison, 1875"
932885,10303,Trichordestra tacoma,"(Strecker, 1900)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Trichordestra,tacoma,https://mothphotographersgroup.msstate.edu/species.php?hodges=10303,Trichordestra tacoma: Formerly placed in the genus Lacanobia.,"Mamestra tacoma Strecker, 1900"
932886,10304,Trichordestra legitima,"(Grote, 1864)",Striped Garden Caterpillar,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Trichordestra,legitima,https://mothphotographersgroup.msstate.edu/species.php?hodges=10304,Trichordestra legitima: Formerly placed in the genus Lacanobia.,"Apamea legitima Grote, 1864"
932887,10305,Trichordestra dodii,"(Smith, 1904)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Trichordestra,dodii,https://mothphotographersgroup.msstate.edu/species.php?hodges=10305,Trichordestra dodii: Formerly placed in the genus Lacanobia.,"Mamestra dodii Smith, 1904"
932888,10306,Trichordestra beanii,"(Grote, 1877)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Trichordestra,beanii,https://mothphotographersgroup.msstate.edu/species.php?hodges=10306,Trichordestra beanii: Formerly placed in the genus Lacanobia.,"Mamestra beanii Grote, 1877
Lacanobia beani Franclemont & Todd, 1983"
932889,10307,Trichordestra lilacina,"(Harvey, 1874)",Aster Cutworm,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Trichordestra,lilacina,https://mothphotographersgroup.msstate.edu/species.php?hodges=10307,Trichordestra lilacina: Formerly placed in the genus Lacanobia.,"Mamestra lilacina Harvey, 1874
Mamestra illabefacta Morrison, 1875
Polia luski Barnes & McDunnough, 1913"
932890,10308,Trichordestra liquida,"(Grote, 1881)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Trichordestra,liquida,https://mothphotographersgroup.msstate.edu/species.php?hodges=10308,Trichordestra liquida: Formerly placed in the genus Lacanobia.,"Mamestra liquida Grote, 1881
Mamestra meodana Smith, 1910"
932891,10309,Trichordestra prodeniformis,"(Smith, 1888)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Trichordestra,prodeniformis,https://mothphotographersgroup.msstate.edu/species.php?hodges=10309,Trichordestra prodeniformis: Formerly placed in the genus Lacanobia.,"Mamestra prodeniformis Smith, 1888"
932892,10310,Papestra quadrata,"(Smith, 1891)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Papestra,quadrata,https://mothphotographersgroup.msstate.edu/species.php?hodges=10310,,"Mamestra quadrata Smith, 1891
Mamestra ingravis Smith, 1895"
932893,10311,Papestra biren,"(Goeze, 1781)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Papestra,biren,https://mothphotographersgroup.msstate.edu/species.php?hodges=10311,,"Phalaena biren Goeze, 1781
Noctua aperta Geyer, 1832
Polia frustrata McDunnough, 1946
Noctua glauca Kleeman, 1792
Noctua lappo Duponchel, 1827
Mamestra paupercula Püngeler, 1902
Hadena poliostigma Hampson, 1894
Polia puengeleri Draudt, 1934
Hadena quadriposita Zetterstedt, 1839
Mamestra taunensis Fuchs, 1899"
932894,10312,Papestra cristifera,"(Walker, 1858)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Papestra,cristifera,https://mothphotographersgroup.msstate.edu/species.php?hodges=10312,,"Acronycta cristifera Walker, 1858
Mamestra impolita Morrison, 1875"
932895,10313,Papestra brenda,"(Barnes & McDunnough, 1916)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Papestra,brenda,https://mothphotographersgroup.msstate.edu/species.php?hodges=10313,,"Polia brenda Barnes & McDunnough, 1916"
932896,10314,Papestra invalida,"(Smith, 1891)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Papestra,invalida,https://mothphotographersgroup.msstate.edu/species.php?hodges=10314,,"Mamestra invalida Smith, 1891"
932897,10324,Hada sutrina,"(Grote, 1881)",Sutrina Moth,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Hada,sutrina,https://mothphotographersgroup.msstate.edu/species.php?hodges=10324,Hada sutrina: Formerly placed in the genus Hecatera.,"Mamestra sutrina Grote, 1881"
932898,10271,Mamestra configurata,"Walker, 1856",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Mamestra,configurata,https://mothphotographersgroup.msstate.edu/species.php?hodges=10271,,"Mamestra configurata Walker, 1856
Copimamestra occidenta Grote, 1883"
932899,10272,Mamestra curialis,"(Smith, 1888)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Mamestra,curialis,https://mothphotographersgroup.msstate.edu/species.php?hodges=10272,,"Copimamestra curialis Smith, 1888"
932899.1,10272.1,Mamestra repentina,"Morrison, 1875",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Mamestra,repentina,https://mothphotographersgroup.msstate.edu/species.php?hodges=10272.1,"Mamestra repentina Morrison, 1875, current status uncertain, is a species which was apparently overlooked in Hodges et al. (1983) (Checklist) but included in Poole (1989).","Mamestra repentina Morrison, 1875"
932900,10262,Sideridis ruisa,"(Forbes, 1913)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Sideridis,ruisa,https://mothphotographersgroup.msstate.edu/species.php?hodges=10262,Sideridis ruisa: Formerly placed in the genus Trichoclea.,"Trichoclea ruisa Forbes, 1913"
932901,10264,Sideridis vindemialis,"(Guenée, 1852)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Sideridis,vindemialis,https://mothphotographersgroup.msstate.edu/species.php?hodges=10264,Sideridis vindemialis: Formerly placed in the genus Trichoclea.,"Ceramica vindemialis Guenée, 1852"
932902,10256,Sideridis fuscolutea,"(Smith, 1892)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Sideridis,fuscolutea,https://mothphotographersgroup.msstate.edu/species.php?hodges=10256,Sideridis fuscolutea: Formerly placed in the genus Trichoclea.,"Mamestra fuscolutea Smith, 1892"
932903,10260,Sideridis mojave,"(Benjamin, 1932)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Sideridis,mojave,https://mothphotographersgroup.msstate.edu/species.php?hodges=10260,Sideridis mojave: Formerly placed in the genus Trichoclea.,"Trichoclea mojave Benjamin, 1932"
932904,10261,Sideridis uscripta,"(Smith, 1891)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Sideridis,uscripta,https://mothphotographersgroup.msstate.edu/species.php?hodges=10261,Sideridis uscripta: Formerly placed in the genus Trichoclea.,"Mamestra uscripta Smith, 1891"
932905,10263,Sideridis artesta,"(Smith, 1903)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Sideridis,artesta,https://mothphotographersgroup.msstate.edu/species.php?hodges=10263,Sideridis artesta: Formerly placed in the genus Trichoclea.,"Mamestra artesta Smith, 1903"
932906,10265,Sideridis rosea,"(Harvey, 1874)",Rosewing Moth,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Sideridis,rosea,https://mothphotographersgroup.msstate.edu/species.php?hodges=10265,Sideridis rosea: Formerly placed in the genus Trichoclea.,"Mamestra rosea Harvey, 1874"
932907,10266,Sideridis congermana,"(Morrison, 1874)",German Cousin Moth,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Sideridis,congermana,https://mothphotographersgroup.msstate.edu/species.php?hodges=10266,Sideridis congermana: Formerly placed in the genus Trichoclea.,"Hadena congermana Morrison, 1874"
932908,10268,Sideridis maryx,"(Guenée, 1852)",Maroonwing Moth,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Sideridis,maryx,https://mothphotographersgroup.msstate.edu/species.php?hodges=10268,Sideridis maryx: Formerly placed in the genus Trichoclea.,"Ceramica maryx Guenée, 1852
Ceramica rubefacta Morrison, 1874
Mamestra vindemialis Grote, 1875"
932909,10270.1,Hecatera dysodea,"([Denis & Schiffermüller], 1775)",Small Ranunculus Moth,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Hecatera,dysodea,https://mothphotographersgroup.msstate.edu/species.php?hodges=10270.1,Hecatera dysodea: An introduced Eurasian species found in Utah in 1998 and in Oregon in 2003.,"Noctua dysodea [Denis & Schiffermüller], 1775
Hecatera africana Oberthür, 1918
Polia antitypina Rothschild, 1914
Polia caduca Herrich-Schäffer, [1850]
Phalaena Noctua chrysozona Borkhausen, 1792
Polia faroulti Rothschild, 1914
Mamestra innocens Staudinger, 1870
Mamestra khala Rungs, 1972
Phalaena Noctua minor Esper, 1790
Phalaena Noctua ornata Villers, 1789
Noctua ranunculina Haworth, 1809
Noctua spinaciae Vieweg, 1790
Polia subflava Warren, 1909"
932910,10326,Hadena variolata,"(Smith, 1888)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Hadena,variolata,https://mothphotographersgroup.msstate.edu/species.php?hodges=10326,Hadena variolata: Formerly placed in the genus Miselia.,"Mamestra variolata Smith, 1888
Mamestra dealbata Staudinger, 1892"
932911,10317,Hadena capsularis,"(Guenée, 1852)",Capsule Moth,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Hadena,capsularis,https://mothphotographersgroup.msstate.edu/species.php?hodges=10317,Hadena capsularis: Formerly placed in the genus Anepia.,"Dianthoecia capsularis Guenée, 1852
Raphia propulsa Walker, 1857"
932912,10317.1,Hadena lafontainei,"Troubridge & Crabo, 2002",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Hadena,lafontainei,https://mothphotographersgroup.msstate.edu/species.php?hodges=10317.1,"Hadena lafontainei Troubridge & Crabo, 2002, n. sp.: Fabreries, 27: 109-154.","Hadena lafontainei Troubridge & Crabo, 2002"
932913,10316,Hadena ectypa,"(Morrison, 1875)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Hadena,ectypa,https://mothphotographersgroup.msstate.edu/species.php?hodges=10316,Hadena ectypa: Formerly placed in the genus Anepia.,"Mamestra ectypa Morrison, 1875
Mamestra bella Grote, 1883"
932914,10318,Hadena minorata,"(Smith, 1888)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Hadena,minorata,https://mothphotographersgroup.msstate.edu/species.php?hodges=10318,Hadena minorata: Formerly placed in the genus Anepia.,"Mamestra minorata Smith, 1888"
932915,10325,Hadena glaciata,"(Grote, 1882)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Hadena,glaciata,https://mothphotographersgroup.msstate.edu/species.php?hodges=10325,Hadena glaciata: Formerly placed in the genus Miselia.,"Mamestra glaciata Grote, 1882"
932916,10322,Hadena circumvadis,"(Smith, 1902)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Hadena,circumvadis,https://mothphotographersgroup.msstate.edu/species.php?hodges=10322,Hadena circumvadis: Formerly placed in the genus Anepia.,"Mamestra circumvadis Smith, 1902"
932917,10322.1,Hadena caelestis,"Troubridge & Crabo, 2002",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Hadena,caelestis,https://mothphotographersgroup.msstate.edu/species.php?hodges=10322.1,"Hadena caelestis Troubridge & Crabo, 2002, n. sp.: Fabreries, 27: 109-154.","Hadena caelestis Troubridge & Crabo, 2002"
932918,10322.2,Hadena gabrieli,"Troubridge & Crabo, 2002",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Hadena,gabrieli,https://mothphotographersgroup.msstate.edu/species.php?hodges=10322.2,"Hadena gabrieli Troubridge & Crabo, 2002, n. sp.: Fabreries, 27: 109-154.","Hadena gabrieli Troubridge & Crabo, 2002"
932919,10321,Hadena ectrapela,"(Smith, 1898)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Hadena,ectrapela,https://mothphotographersgroup.msstate.edu/species.php?hodges=10321,Hadena ectrapela: Includes as a synonym Hadena jola [10320]. Formerly placed in the genus Anepia.,"Mamestra ectrapela Smith, 1898
Epia jola Barnes & Benjamin, 1924"
932920,10319,Hadena amabilis,"(Barnes & McDunnough, 1918)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Hadena,amabilis,https://mothphotographersgroup.msstate.edu/species.php?hodges=10319,Hadena amabilis: Formerly placed in the genus Anepia.,"Epia amabilis Barnes & McDunnough, 1918"
932921,10323,Hadena plumasata,"Buckett & Bauer, 1967",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Hadena,plumasata,https://mothphotographersgroup.msstate.edu/species.php?hodges=10323,Hadena plumasata: Formerly placed in the genus Anepia.,"Hadena plumasata Buckett & Bauer, 1967"
932922,10323.1,Hadena maccabei,"Troubridge & Crabo, 2002",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Hadena,maccabei,https://mothphotographersgroup.msstate.edu/species.php?hodges=10323.1,"Hadena maccabei Troubridge & Crabo, 2002, n. sp.: Fabreries, 27: 109-154.","Hadena maccabei Troubridge & Crabo, 2002"
932923,10323.2,Hadena paulula,"Troubridge & Crabo, 2002",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Hadena,paulula,https://mothphotographersgroup.msstate.edu/species.php?hodges=10323.2,"Hadena paulula Troubridge & Crabo, 2002, n. sp.: Fabreries, 27: 109-154.","Hadena paulula Troubridge & Crabo, 2002"
932924,10323.3,Hadena siskiyou,"Troubridge & Crabo, 2002",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Hadena,siskiyou,https://mothphotographersgroup.msstate.edu/species.php?hodges=10323.3,,"Hadena siskiyou Troubridge & Crabo, 2002"
932924.5,10269,Admetovis oxymorus,"Grote, 1873",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Admetovis,oxymorus,https://mothphotographersgroup.msstate.edu/species.php?hodges=10269,"Admetovis oxymorus Grote, 1873 - The genus Admetovis was transferred from the tribe Orthosiini to the Hadenini, ZooKeys, 788: 167-181.","Admetovis oxymorus Grote, 1873"
932924.51,10269.1,Admetovis icarus,"Crabo & Schmidt, 2018",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Admetovis,icarus,https://mothphotographersgroup.msstate.edu/species.php?hodges=10269.1,"Admetovis icarus Crabo & Schmidt, 2018 n. sp., ZooKeys, 788: 172.","Admetovis icarus Crabo & Schmidt, 2018"
932924.52,10270,Admetovis similaris,"Barnes, 1904",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Admetovis,similaris,https://mothphotographersgroup.msstate.edu/species.php?hodges=10270,"Admetovis similaris Barnes, 1904 - The genus Admetovis was transferred from the tribe Orthosiini to the Hadenini, ZooKeys, 788: 167-181.","Admetovis similaris Barnes, 1904
Admetovis similis Barnes, in: Dyar, 1903"
932925,10428,Dargida procinctus,"(Grote, 1873)",Olive Green Cutworm,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Dargida,procinctus,https://mothphotographersgroup.msstate.edu/species.php?hodges=10428,,"Eupsephopaectes procinctus Grote, 1873"
932926,10429,Dargida grammivora,"Walker, 1856",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Dargida,grammivora,https://mothphotographersgroup.msstate.edu/species.php?hodges=10429,,"Dargida grammivora Walker, 1856
Dargida graminivora Hampson, 1905"
932927,10430,Dargida quadrannulata,"(Morrison, 1876)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Dargida,quadrannulata,https://mothphotographersgroup.msstate.edu/species.php?hodges=10430,Dargida quadrannulata: Formerly placed in the genus Faronta.,"Mamestra quadrannulata Morrison, 1876"
932928,10431,Dargida diffusa,"(Walker, 1856)",Wheat Head Armyworm,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Dargida,diffusa,https://mothphotographersgroup.msstate.edu/species.php?hodges=10431,"Dargida diffusa (Walker, 1856) includes as a synonym 10432 Dargida terrapictalis, ""a dark form of the species that occurs from southern British Columbia to central California and could be treated as a subspecies if desired."" Lafontaine & Schmidt (2015), ZooKeys, 527: 142. This species was transferred from the genus Faronta by Rodríguez and Angulo (2005).","Leucania diffusa Walker, 1856
Leucania albilinea of authors not Hübner, [1821]
Leucania harveyi Grote, 1873
Leucania moderata Walker, 1856
Faronta terrapictalis Buckett, 1969
Leucania obscurior Smith, 1902
Leucania limitata Smith, 1902
Leucania neptis Smith, 1902"
932930,10433,Dargida tetera,"(Smith, 1902)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Dargida,tetera,https://mothphotographersgroup.msstate.edu/species.php?hodges=10433,Dargida tetera: Formerly placed in the genus Faronta.,"Leucania tetera Smith, 1902"
932931,10434,Dargida rubripennis,"(Grote & Robinson, 1870)",Pink Streak Moth,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Dargida,rubripennis,https://mothphotographersgroup.msstate.edu/species.php?hodges=10434,Dargida rubripennis: Formerly placed in the genus Faronta.,"Leucania rubripennis Grote & Robinson, 1870"
932932,10435,Dargida aleada,"(Smith, 1908)",,Noctuoidea,Noctuidae,Noctuinae,Hadenini,,Dargida,aleada,https://mothphotographersgroup.msstate.edu/species.php?hodges=10435,Dargida aleada: Formerly placed in the genus Faronta.,"Faronta aleada Smith, 1908"
932933,10436,Mythimna oxygala,"(Grote, 1881)",Lesser Wainscot,Noctuoidea,Noctuidae,Noctuinae,Leucaniini,,Mythimna,oxygala,https://mothphotographersgroup.msstate.edu/species.php?hodges=10436,Mythimna oxygala: Formerly placed in the genus Aletia.,"Heliophila oxygala Grote, 1881
Leucania minorata Smith, 1894
Mythimna pallens of authors not Linnaeus, 1758
Leucania rubripallens Smith, 1902
Leucania luteopallens Smith, 1902"
932934,10437,Mythimna yuconensis,"(Hampson, 1911)",,Noctuoidea,Noctuidae,Noctuinae,Leucaniini,,Mythimna,yuconensis,https://mothphotographersgroup.msstate.edu/species.php?hodges=10437,"Mythimna yuconensis (Hampson, 1911) corrects spelling of yukonensis, an invalid spelling correction in McDunnough (1938). Lafontaine & Schmidt (2015) determined that the original spelling could not be assumed to be an error, ZooKeys. 527: 142. This species was formally placed in the genus Aletia - Lafontaine & Schmidt (2010), ZooKeys, 40: 156.","Leucania yuconensis Hampson, 1911
Leucania yukonensis McDunnough, 1938"
932935,10438,Mythimna unipuncta,"(Haworth, 1809)",Armyworm,Noctuoidea,Noctuidae,Noctuinae,Leucaniini,,Mythimna,unipuncta,https://mothphotographersgroup.msstate.edu/species.php?hodges=10438,Mythimna unipuncta: Formerly placed in the genus Pseudoletia.,"Noctua unipuncta Haworth, 1809
Leucania antica Walker, 1856
Leucania extranea Guenée, 1852
Pseudaletia quechua Franclemont, 1951
Leucania tseki Koutsaftikis, 1974"
932936,10438.1,Mythimna sequax,"(Franclemont, 1951)",Wheat Armyworm,Noctuoidea,Noctuidae,Noctuinae,Leucaniini,,Mythimna,sequax,https://mothphotographersgroup.msstate.edu/species.php?hodges=10438.1,Mythimna sequax: Formerly placed in the genus Pseudoletia.,"Pseudaletia sequax Franclemont, 1951"
932937,10439,Leucania extincta,"Guenée, 1852",,Noctuoidea,Noctuidae,Noctuinae,Leucaniini,,Leucania,extincta,https://mothphotographersgroup.msstate.edu/species.php?hodges=10439,,"Leucania extincta Guenée, 1852
Heliophila ligata Grote, 1875
Heliophila texana Morrison, 1875
Heliophila flabilis Grote, 1881
Heliophila rimosa Grote, 1883"
932937.1,10439.1,Leucania clarescens,"Möschler, 1890",,Noctuoidea,Noctuidae,Noctuinae,Leucaniini,,Leucania,clarescens,https://mothphotographersgroup.msstate.edu/species.php?hodges=10439.1,"Leucania clarescens: Leucania clarescens Möschler, 1890 is now recognized within the North American fauna north of Mexico from the Florida Keys, ZooKeys, 788: 249.","Leucania clarescens Möschler, 1890"
932938,10440,Leucania linita,"Guenée, 1852",,Noctuoidea,Noctuidae,Noctuinae,Leucaniini,,Leucania,linita,https://mothphotographersgroup.msstate.edu/species.php?hodges=10440,,"Leucania linita Guenée, 1852
[unknown] punctata Strand, 1917"
932938.1,10440.1,Leucania amygdalina,"(Harvey, 1878)",,Noctuoidea,Noctuidae,Noctuinae,Leucaniini,,Leucania,amygdalina,https://mothphotographersgroup.msstate.edu/species.php?hodges=10440.1,"Leucania amygdalina (Harvey, 1878), formerly treated as a synonym of 10440 Leucania linita in Hodges et al. (1983) (Checklist), is raised to full species status, Lafontaine & Schmidt, 2015: 142.","Heliophila amygdalina Harvey, 1878"
932939,10441,Leucania farcta,"(Grote, 1881)",,Noctuoidea,Noctuidae,Noctuinae,Leucaniini,,Leucania,farcta,https://mothphotographersgroup.msstate.edu/species.php?hodges=10441,,"Heliophila farcta Grote, 1881
Leucania palliseca Smith, 1902
Leucania roseola Smith, 1894"
932941,10442,Leucania anteroclara,"Smith, 1902",,Noctuoidea,Noctuidae,Noctuinae,Leucaniini,,Leucania,anteroclara,https://mothphotographersgroup.msstate.edu/species.php?hodges=10442,,"Leucania anteroclara Smith, 1902
Leucania anteoclara of authors, [no date]
Leucania calgariana Smith, 1902"
932942,10443,Leucania februalis,"(Hill, 1924)",,Noctuoidea,Noctuidae,Noctuinae,Leucaniini,,Leucania,februalis,https://mothphotographersgroup.msstate.edu/species.php?hodges=10443,,"Cirphis februalis Hill, 1924"
932943,10444,Leucania phragmitidicola,"Guenée, 1852",Phragmites Wainscot,Noctuoidea,Noctuidae,Noctuinae,Leucaniini,,Leucania,phragmitidicola,https://mothphotographersgroup.msstate.edu/species.php?hodges=10444,,"Leucania phragmitidicola Guenée, 1852
Leucania phragmatidicola of authors, [no date]"
932944,10445,Leucania linda,"Franclemont, 1952",Linda Wainscot,Noctuoidea,Noctuidae,Noctuinae,Leucaniini,,Leucania,linda,https://mothphotographersgroup.msstate.edu/species.php?hodges=10445,,"Leucania linda Franclemont, 1952"
932945,10446,Leucania multilinea,"Walker, 1856",Many-lined Wainscot,Noctuoidea,Noctuidae,Noctuinae,Leucaniini,,Leucania,multilinea,https://mothphotographersgroup.msstate.edu/species.php?hodges=10446,,"Leucania multilinea Walker, 1856"
