file_name,image_size,inference_info
D:\moth_photos\database\batch_07\img_moth_00012194.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012195.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012196.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012197.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012198.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012199.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012201.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012202.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012203.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012204.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012205.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012206.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
D:\moth_photos\database\batch_07\img_moth_00012207.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:57:33
